dataset,model,total_variation_ratio,coverage_120s,width_120s_bpm
Wearable,pk_ssm,0.3633788895840702,0.9424231267971904,87.92893999784337
Wearable,tcn,3.018091942977095,0.925717912174269,88.31487196404238
GoldenCheetah,pk_ssm,0.1092773918254908,0.9337048016395842,66.98751729963273
GoldenCheetah,tcn,1.7497779510236149,0.9320381349729177,68.60768418661188
