boundary,heldout_protocol,mae_120s_bpm,mae_30s_bpm,mae_60s_bpm,model,origin_policy,participants,source_protocol,trajectory_mae_bpm
source_user,AEROBIC,21.8577805492593,8.78897866295119,16.247231579816848,pk_ssm,tagged_events,31,ANAEROBIC,14.246977628286384
source_user,AEROBIC,23.19105277007349,8.6371714360218,16.81163624464686,tcn,tagged_events,31,ANAEROBIC,14.711746739645282
seen_user_activity,AEROBIC,15.604718235290342,5.867160402546536,10.057682390523834,pk_ssm,tagged_events,29,ANAEROBIC,9.468835154246639
seen_user_activity,AEROBIC,16.322583113882608,5.234827479871997,10.201644598679998,tcn,tagged_events,29,ANAEROBIC,9.607497555300592
joint_user_activity,AEROBIC,16.463047260072496,6.267371126274011,10.598667975594987,pk_ssm,tagged_events,30,ANAEROBIC,10.04875884684264
joint_user_activity,AEROBIC,17.580070571384734,5.411798470652637,10.746905183214132,tcn,tagged_events,30,ANAEROBIC,10.16785620150986
source_user,ANAEROBIC,13.354674046644398,4.111502159132415,7.821389037224464,pk_ssm,tagged_events,30,AEROBIC,7.549860689977731
source_user,ANAEROBIC,13.1299602776482,3.6901889948081146,7.483998650144877,tcn,tagged_events,30,AEROBIC,7.274086023075916
seen_user_activity,ANAEROBIC,21.50055040512488,9.084701406988819,17.20512303477618,pk_ssm,tagged_events,29,AEROBIC,14.777289191294164
seen_user_activity,ANAEROBIC,22.763679651583477,9.206305487407459,17.830362131152594,tcn,tagged_events,29,AEROBIC,15.414907685235349
joint_user_activity,ANAEROBIC,22.20471213380313,9.078982464745465,17.279157060579575,pk_ssm,tagged_events,31,AEROBIC,15.017274352184952
joint_user_activity,ANAEROBIC,23.278093040725377,9.02560131466578,17.694417617304925,tcn,tagged_events,31,AEROBIC,15.486126334570027
source_user,AEROBIC,17.4183925305851,7.631876484927779,12.53813209033853,pk_ssm,evaluation_stride,31,ANAEROBIC,11.39462921123231
source_user,AEROBIC,18.243227528107308,7.110676498101958,12.960402421580916,tcn,evaluation_stride,31,ANAEROBIC,11.7231524257585
seen_user_activity,AEROBIC,14.9171203186552,6.4013587077041985,10.461269828175467,pk_ssm,evaluation_stride,29,ANAEROBIC,9.530653719029328
seen_user_activity,AEROBIC,15.485094489565384,5.908208898748613,10.515180002964986,tcn,evaluation_stride,29,ANAEROBIC,9.599974320695056
joint_user_activity,AEROBIC,15.590857408477197,6.504660133155195,10.75575411303487,pk_ssm,evaluation_stride,30,ANAEROBIC,9.870265673738574
joint_user_activity,AEROBIC,17.089668796708125,5.95262492944262,11.029715546235227,tcn,evaluation_stride,30,ANAEROBIC,10.216984868592428
source_user,ANAEROBIC,11.743139529158828,4.826475476729702,8.164469643310703,pk_ssm,evaluation_stride,30,AEROBIC,7.43926191947102
source_user,ANAEROBIC,11.214572337877627,4.373219437359352,7.6416385185490565,tcn,evaluation_stride,30,AEROBIC,6.936282219097446
seen_user_activity,ANAEROBIC,18.06055128191015,7.61555023688008,12.917587356981754,pk_ssm,evaluation_stride,29,AEROBIC,11.786376454227412
seen_user_activity,ANAEROBIC,19.467063371062785,7.615886808332058,13.402148776401079,tcn,evaluation_stride,29,AEROBIC,12.362154577657002
joint_user_activity,ANAEROBIC,18.255635181508087,7.5106294222254455,12.8934379985306,pk_ssm,evaluation_stride,31,AEROBIC,11.83051209684737
joint_user_activity,ANAEROBIC,19.667859293222733,7.542659937809186,13.335539258504237,tcn,evaluation_stride,31,AEROBIC,12.323169598313225
