policy,endpoint,label,estimate_bpm,ci_low_bpm,ci_high_bpm,participants,wilcoxon_p
tagged_events,trajectory_mae_bpm,Tagged trajectory,0.04517248334676068,-0.22333548677433115,0.3095465962738034,31,0.7645525922998786
tagged_events,mae_30s_bpm,Tagged 30 s,0.224579603583277,0.04568517809258022,0.3998086753668002,31,0.02743559330701828
tagged_events,mae_60s_bpm,Tagged 60 s,0.1690329097761448,-0.14439873375965975,0.47406152122487055,31,0.209396718069911
tagged_events,mae_120s_bpm,Tagged 120 s,-0.22181113684052572,-0.795967053498735,0.3404300827485382,31,0.608313562348485
evaluation_stride,trajectory_mae_bpm,Schedule-wide trajectory,0.29788308328501734,0.08082637401463835,0.5012887572891692,31,0.006217258051037788
