origin_policy,heldout_protocol,model,metric,joint_minus_source_bpm,ci_low_bpm,ci_high_bpm,wilcoxon_p,participants,positive_fraction,negative_fraction,ties_fraction
evaluation_stride,AEROBIC,pk_ssm,mae_120s_bpm,-1.7652477225875822,-4.091370079265713,0.5120044218854879,0.1641840822994709,30,0.43333333333333335,0.5666666666666667,0.0
evaluation_stride,AEROBIC,pk_ssm,mae_30s_bpm,-1.2158750062099566,-2.7435575853727623,0.1304707941004992,0.17719271034002304,30,0.4,0.6,0.0
evaluation_stride,AEROBIC,pk_ssm,mae_60s_bpm,-1.8637259512784865,-4.3105951528561945,0.4638878451778927,0.2621222734451294,30,0.43333333333333335,0.5666666666666667,0.0
evaluation_stride,AEROBIC,pk_ssm,trajectory_mae_bpm,-1.5376801568658374,-3.4188968949872374,0.23536302547745103,0.24494642950594425,30,0.36666666666666664,0.6333333333333333,0.0
evaluation_stride,AEROBIC,tcn,mae_120s_bpm,-0.9983913387271526,-3.613253995443806,1.7176540596886132,0.46454504504799843,30,0.43333333333333335,0.5666666666666667,0.0
evaluation_stride,AEROBIC,tcn,mae_30s_bpm,-1.205475009370266,-2.6446333105397226,0.043189246379582616,0.2621222734451294,30,0.4,0.6,0.0
evaluation_stride,AEROBIC,tcn,mae_60s_bpm,-1.9770812191333613,-4.3369845765176676,0.28104106741380086,0.31839608028531075,30,0.5,0.5,0.0
evaluation_stride,AEROBIC,tcn,trajectory_mae_bpm,-1.4591685179467808,-3.400493354190394,0.41477580819988413,0.22855282202363014,30,0.4,0.6,0.0
evaluation_stride,ANAEROBIC,pk_ssm,mae_120s_bpm,6.402732082498924,4.273495757954186,8.595901715439217,1.6838312149047852e-06,30,0.8666666666666667,0.13333333333333333,0.0
evaluation_stride,ANAEROBIC,pk_ssm,mae_30s_bpm,2.7568658526824468,1.3455957157579364,4.428605301405622,0.0002562887966632843,30,0.7666666666666667,0.23333333333333334,0.0
evaluation_stride,ANAEROBIC,pk_ssm,mae_60s_bpm,4.797224217649214,2.7666173042609756,7.184088753038819,2.366676926612854e-05,30,0.8333333333333334,0.16666666666666666,0.0
evaluation_stride,ANAEROBIC,pk_ssm,trajectory_mae_bpm,4.391119750447349,2.7876654005456123,6.2714931650976125,1.1920928955078125e-06,30,0.8666666666666667,0.13333333333333333,0.0
evaluation_stride,ANAEROBIC,tcn,mae_120s_bpm,8.309000597028376,5.630429700434115,11.12201237510932,6.910413503646851e-07,30,0.9,0.1,0.0
evaluation_stride,ANAEROBIC,tcn,mae_30s_bpm,3.2102739329742467,1.6327670790378246,5.007397631128252,0.000283263623714447,30,0.7666666666666667,0.23333333333333334,0.0
evaluation_stride,ANAEROBIC,tcn,mae_60s_bpm,5.678019825061245,3.3483104129961188,8.307894315161727,1.8244609236717224e-05,30,0.8,0.2,0.0
evaluation_stride,ANAEROBIC,tcn,trajectory_mae_bpm,5.346823275391617,3.5407919503647096,7.464563274193704,1.6838312149047852e-06,30,0.8666666666666667,0.13333333333333333,0.0
tagged_events,AEROBIC,pk_ssm,mae_120s_bpm,-5.2734216594852,-9.641093323325697,-0.9214349621542489,0.01453801617026329,30,0.3333333333333333,0.6666666666666666,0.0
tagged_events,AEROBIC,pk_ssm,mae_30s_bpm,-2.5938734188666985,-4.261129267463207,-0.882152843980068,0.011303061619400978,30,0.3,0.7,0.0
tagged_events,AEROBIC,pk_ssm,mae_60s_bpm,-5.721080805360612,-8.627470834510701,-2.8261915032886784,0.0009517744183540344,30,0.3,0.7,0.0
tagged_events,AEROBIC,pk_ssm,trajectory_mae_bpm,-4.215948875830734,-6.529398249451072,-1.8094370850831136,0.001340603455901146,30,0.26666666666666666,0.7333333333333333,0.0
tagged_events,AEROBIC,tcn,mae_120s_bpm,-5.433634193693807,-10.066253757333458,-0.7900276346719087,0.03098480962216854,30,0.3,0.7,0.0
tagged_events,AEROBIC,tcn,mae_30s_bpm,-3.2567729680298503,-4.972517811313533,-1.5583558969344482,0.001718590036034584,30,0.3,0.7,0.0
tagged_events,AEROBIC,tcn,mae_60s_bpm,-6.048566011144429,-9.437602843408737,-2.768543135548578,0.0023674946278333664,30,0.26666666666666666,0.7333333333333333,0.0
tagged_events,AEROBIC,tcn,trajectory_mae_bpm,-4.525792559202417,-7.102131246937526,-1.932918736401983,0.0018640067428350449,30,0.23333333333333334,0.7666666666666667,0.0
tagged_events,ANAEROBIC,pk_ssm,mae_120s_bpm,8.714298602702815,4.4984227722736305,13.160927685141182,7.910653948783875e-05,30,0.8333333333333334,0.16666666666666666,0.0
tagged_events,ANAEROBIC,pk_ssm,mae_30s_bpm,5.050989468419019,3.648862500263992,6.428410303751442,3.1478703022003174e-07,30,0.9,0.1,0.0
tagged_events,ANAEROBIC,pk_ssm,mae_60s_bpm,9.561431346883218,6.916599813951146,12.291224842157336,1.6391277313232422e-07,30,0.9333333333333333,0.06666666666666667,0.0
tagged_events,ANAEROBIC,pk_ssm,trajectory_mae_bpm,7.5016264104523565,5.364213081994983,9.658000625913028,5.718320608139038e-07,30,0.9333333333333333,0.06666666666666667,0.0
tagged_events,ANAEROBIC,tcn,mae_120s_bpm,9.8625502616108,4.964611673172669,15.078430692307862,0.00023163668811321259,30,0.8,0.2,0.0
tagged_events,ANAEROBIC,tcn,mae_30s_bpm,5.450136610200854,3.8900096217095137,7.0576789743919095,2.551823854446411e-07,30,0.9,0.1,0.0
tagged_events,ANAEROBIC,tcn,mae_60s_bpm,10.319184596212626,7.309820541566813,13.438454181582564,2.551823854446411e-07,30,0.9,0.1,0.0
tagged_events,ANAEROBIC,tcn,trajectory_mae_bpm,8.215371949959506,5.667761664764601,10.848440360794006,4.7124922275543213e-07,30,0.9,0.1,0.0
