policy,parameter,mean,sd,p05,p50,p95,minimum,maximum,median_within_origin_seed_sd,mean_pairwise_seed_spearman,participants,origins,icc_one_way_random,between_participant_sd_of_means,pooled_within_participant_sd,effective_group_size,near_lower_fraction,near_upper_fraction
tagged_events,feasible_max_hr,169.82494173500163,4.2249693322131305,162.02213134765626,168.4753387451172,174.62775268554688,162.02213134765626,198.0800018310547,15.404075761544004,0.2096015482706386,31.0,466.0,0.2694095998242264,2.401821544329072,3.6265469654757543,15.016452074391989,0.0,0.0
tagged_events,gain_fast,0.346767240276664,0.0286634644232092,0.3117072641849517,0.3410966992378235,0.3952984809875488,0.3117072641849517,0.3952984809875488,0.1298696763335949,0.036202525761254,31.0,466.0,0.9364585916781626,0.028288382520884,0.0073332320388614,15.016452074391989,0.0,
tagged_events,gain_slow,0.2666503921598835,0.0345979863902373,0.2207099750638008,0.2914365351200104,0.3045121967792511,0.2207099750638008,0.3045121967792511,0.0932791310912696,0.0826050132134641,31.0,466.0,0.0300622364884526,0.0117870394608856,0.0340899608778171,15.016452074391989,0.0,
tagged_events,hr_reserve,106.90411520372643,9.489522046379331,92.43784942626954,106.64498672485352,123.6085994720459,85.69353942871093,131.14066619873046,16.89287528719506,0.3548641237567951,31.0,466.0,0.2156225759003597,5.027261222710582,8.432813606066944,15.016452074391989,0.0,0.0
tagged_events,initial_fast_fraction,0.4266091671752316,0.0455489961281372,0.3581113457679749,0.4465329051017761,0.4809286832809448,0.3581113457679749,0.4809286832809448,0.117798521347582,0.0705032730700319,31.0,466.0,0.3125724953815335,0.0274147132165141,0.0379507272191398,15.016452074391989,0.0,0.0
tagged_events,rest_hr,62.92082656401933,8.488419201758525,48.6141227722168,63.09830360412597,74.8336166381836,43.04891204833984,76.3285919189453,5.442844856499155,0.7674153103426762,31.0,466.0,0.1935093177903901,4.323732812784705,7.646124271159428,15.016452074391989,0.0,0.0
tagged_events,tau_fast_recovery,76.71131936920558,2.4922470442597064,73.13434295654297,76.53045043945312,80.37745056152343,73.13434295654297,80.37745056152343,8.450083743290316,-0.0131692864874579,31.0,466.0,0.3738002527850277,1.604246023643674,1.9837851531734425,15.016452074391989,0.0,0.0
tagged_events,tau_fast_rise,69.68231736048097,3.8095233438353255,64.71673049926758,68.4524757385254,77.45631713867188,64.71673049926758,77.45631713867188,18.2399772909726,0.0130536280952333,31.0,466.0,0.3697045739725185,2.42528636566639,3.042017780874677,15.016452074391989,0.0,0.0
tagged_events,tau_slow_recovery,371.4758173995775,27.478211969469584,339.2745361328125,365.0560424804688,412.99345703125,339.2745361328125,412.99345703125,68.48203532598032,-0.0224586897085489,31.0,466.0,0.2103516438213113,14.111113860945578,24.498247108209327,15.016452074391989,,0.0
tagged_events,tau_slow_rise,334.52018827512035,19.957202525951796,306.78184814453124,333.7981689453125,369.3335266113281,306.78184814453124,369.3335266113281,73.69582863401119,-0.0096602862212518,31.0,466.0,0.2141729976101244,10.511189839003846,17.75083845632509,15.016452074391989,,0.0
