origin_policy,heldout_protocol,boundary,model,outer_fold,participants,raw_point_coverage,raw_high_hr_coverage,raw_mean_width_bpm,simultaneous_120s_coverage,simultaneous_120s_mean_width_bpm,pointwise_30s_coverage,pointwise_30s_mean_width_bpm,pointwise_60s_coverage,pointwise_60s_mean_width_bpm,pointwise_120s_coverage,pointwise_120s_mean_width_bpm
tagged_events,AEROBIC,source_user,pk_ssm,0,,0.761487322201608,0.44915351758095323,49.238546288964336,0.9714285714285714,189.32061795682202,0.9714285714285714,115.83716980506682,0.9380333951762523,113.84797332026648,0.9714285714285714,165.38036658943403
tagged_events,AEROBIC,source_user,tcn,0,,0.905343228200371,0.9025472543596784,63.74114826419789,0.8597402597402598,85.6453617769601,0.9584415584415584,52.92489997531252,0.9298701298701298,87.82149073044701,0.9012987012987013,102.36220379940141
tagged_events,AEROBIC,source_user,pk_ssm,1,,0.9239457070707071,0.4847908745247148,58.11224851884407,1.0,191.72054526558284,1.0,96.79872040216023,1.0,136.61383394446437,1.0,258.18696295676517
tagged_events,AEROBIC,source_user,tcn,1,,0.955094696969697,0.3846007604562737,55.242042457510294,1.0,104.15488704926403,1.0,50.313317587911975,1.0,96.77298397501676,1.0,116.46932887394009
tagged_events,AEROBIC,source_user,pk_ssm,2,,0.9322222222222223,0.87118993993994,72.18976141232054,1.0,158.88611407753106,1.0,95.47180690766479,1.0,146.5989805966554,0.9814814814814815,122.9994247009777
tagged_events,AEROBIC,source_user,tcn,2,,0.9607098765432099,0.9710022522522522,76.74296050377481,1.0,226.78072205324113,1.0,137.0696196274438,1.0,157.67494950371895,0.9814814814814815,151.63514163481022
tagged_events,AEROBIC,source_user,pk_ssm,3,,0.8692129629629629,0.7208333333333333,63.825286868957896,0.9444444444444443,117.54939146527171,0.9833333333333334,62.95703236827639,0.9277777777777777,104.90414807293465,0.9444444444444443,140.37806789182832
tagged_events,AEROBIC,source_user,tcn,3,,0.8619212962962962,0.7142857142857143,61.90009314291036,0.9444444444444443,102.58873414710514,1.0,65.4145299805699,0.9444444444444443,109.01284663891728,0.9833333333333334,111.43380169699645
tagged_events,AEROBIC,source_user,pk_ssm,4,,0.775841049382716,0.7097008216758403,67.10988716940837,1.0,245.18889740065472,0.9666666666666667,88.27584198080099,1.0,198.03310531204198,1.0,334.57475573798047
tagged_events,AEROBIC,source_user,tcn,4,,0.9225694444444444,0.7696409702398789,67.175252929826,1.0,101.03716506650531,0.6527777777777778,26.42041660240584,0.9833333333333334,81.21754991669293,0.9583333333333334,97.83187925301492
tagged_events,AEROBIC,seen_user_activity,pk_ssm,0,,0.9191789708307567,0.8121826570812549,52.39290599137574,1.0,198.82829940313678,1.0,123.18379437529532,0.987012987012987,119.19661784954923,0.9935064935064936,173.39660768262166
tagged_events,AEROBIC,seen_user_activity,tcn,0,,0.9582776747062463,0.8649908139590702,63.17923900225271,0.8810296846011132,85.04433340204942,0.9935064935064936,52.18053023203888,0.9935064935064936,92.18880640267207,0.9090909090909092,97.01958799566711
tagged_events,AEROBIC,seen_user_activity,pk_ssm,1,,0.9020290404040404,0.6879067740711314,45.02360059958992,0.9933333333333334,148.99837994584914,0.985,71.5083581067881,0.985,106.28776847278931,0.9933333333333334,207.1138115024655
tagged_events,AEROBIC,seen_user_activity,tcn,1,,0.9693156565656567,0.9300260676174482,47.756440747687286,0.9916666666666667,90.36548253957551,1.0,43.662771053375174,0.993939393939394,82.47139713158765,0.9916666666666667,101.89476514813327
tagged_events,AEROBIC,seen_user_activity,pk_ssm,2,,0.9616912578162579,0.7130212940377275,65.34836578304075,0.9904761904761905,144.15114554334744,0.9904761904761905,88.3015964619889,1.0,132.58142534042932,0.9547619047619047,109.77836030155794
tagged_events,AEROBIC,seen_user_activity,tcn,2,,0.9742420634920634,0.8749550033601283,61.729957452032096,0.9904761904761905,183.25571439748802,1.0,111.70242217804424,1.0,119.53726905939524,0.9821428571428572,108.39492962014161
tagged_events,AEROBIC,seen_user_activity,pk_ssm,3,,0.9411757643398269,0.8829160996624925,60.90453010912291,0.9732142857142857,112.20110228407005,0.9910714285714286,59.985612710168745,0.9910714285714286,99.84215099616334,0.9732142857142857,133.82062866918199
tagged_events,AEROBIC,seen_user_activity,tcn,3,,0.968009503517316,0.9636846798644552,61.18707459202386,0.9743303571428572,101.44503108445592,0.9910714285714286,64.17767294098428,0.9910714285714286,104.93889486118121,0.9654017857142857,115.789593465616
tagged_events,AEROBIC,seen_user_activity,pk_ssm,4,,0.8467913059163058,0.5812506839307202,55.577483169467335,1.0,204.2154835538686,0.9554761904761905,71.14525993383022,1.0,165.22669355883988,1.0,284.22783532580894
tagged_events,AEROBIC,seen_user_activity,tcn,4,,0.9605070346320346,0.7669758141719016,62.51898461314977,0.9714285714285714,94.25721037787116,0.9521645021645022,24.513530668007643,0.9688311688311689,75.47796851284063,0.9313203463203463,89.39299712898482
tagged_events,AEROBIC,joint_user_activity,pk_ssm,0,,0.8649014378478664,0.5,40.384721920571025,1.0,154.88747207585482,1.0,87.99737731408665,1.0,93.61740251959712,0.9857142857142858,139.08280433437488
tagged_events,AEROBIC,joint_user_activity,tcn,0,,0.9475618429189857,0.4700940860215054,54.57805399636477,0.9107606679035251,73.72606551158272,0.9795918367346939,45.0502745146919,1.0,78.36075414091171,0.9584415584415584,85.31623636053622
tagged_events,AEROBIC,joint_user_activity,pk_ssm,1,,0.8246726190476191,0.749645390070922,38.70126948318575,0.9761904761904763,132.36067090080098,0.9553571428571429,58.97418814240097,0.9553571428571429,94.49421679901795,1.0,189.26780389624906
tagged_events,AEROBIC,joint_user_activity,tcn,1,,0.9365327380952383,0.8687943262411347,52.37253877806853,0.9523809523809524,98.85956730073326,0.9553571428571429,47.05881314821116,0.9553571428571429,91.37032247640391,0.9523809523809524,111.5553940865577
tagged_events,AEROBIC,joint_user_activity,pk_ssm,2,,0.894753336940837,0.7511198336067554,62.13533801308578,1.0,137.26681297183438,1.0,84.542438345024,1.0,125.87873833567143,0.9047619047619047,103.98639091772579
tagged_events,AEROBIC,joint_user_activity,tcn,2,,0.9844088203463203,0.9841818454313855,68.4985113340475,1.0,203.19808975150167,1.0,121.30104181384255,1.0,131.12867757993257,0.9523809523809524,116.95360543586541
tagged_events,AEROBIC,joint_user_activity,pk_ssm,3,,0.9981666666666665,1.0,67.47345009420998,1.0,124.14622894007358,1.0,63.645533629288146,1.0,111.2791898374748,1.0,151.64513993646352
tagged_events,AEROBIC,joint_user_activity,tcn,3,,0.9976190476190476,1.0,65.14325858571151,1.0,107.77758498316913,1.0,68.62808183916536,1.0,114.95798463433243,1.0,117.1830622127387
tagged_events,AEROBIC,joint_user_activity,pk_ssm,4,,0.8080776515151515,0.6407407407407407,44.532415202631725,1.0,166.36266885500723,0.9848484848484849,56.166981884596765,1.0,134.76694452326325,1.0,236.17534799294188
tagged_events,AEROBIC,joint_user_activity,tcn,4,,0.9791477272727273,0.9703703703703703,60.34276726346729,0.9791666666666666,91.04728155584787,0.9473484848484848,23.43103840953318,1.0,71.70171650061752,0.9185606060606061,86.02682525728684
tagged_events,ANAEROBIC,source_user,pk_ssm,0,,0.9063760049474334,1.0,44.06753117236344,0.8834879406307977,56.90492642246148,0.9666048237476809,28.388639671593868,0.8692022263450834,42.62873264476589,0.9168831168831169,79.65924718966237
tagged_events,ANAEROBIC,source_user,tcn,0,,0.8975881261595547,1.0,39.16424294761091,0.8215213358070501,48.7375053943382,0.8248144712430426,15.832297601959167,0.8240723562152132,36.310060080882174,0.8562152133580704,65.74742726360408
tagged_events,ANAEROBIC,source_user,pk_ssm,1,,0.9186177248677249,0.6170262390670554,41.03420595316462,0.9523809523809524,210.3472654659123,0.9761904761904763,135.12016830150466,1.0,197.37994572441556,0.9761904761904763,164.72532030530195
tagged_events,ANAEROBIC,source_user,tcn,1,,0.5460618085618085,0.33940233236151607,9.300954241680774,0.9761904761904763,153.5206119643243,0.9761904761904763,93.08460185987981,1.0,117.59156549187654,0.9523809523809524,115.09054163598196
tagged_events,ANAEROBIC,source_user,pk_ssm,2,,0.934643308080808,0.9217598299413852,41.956175077335544,1.0,194.8780662258694,1.0,93.74568342947379,1.0,201.06679747536012,1.0,211.38301352980025
tagged_events,ANAEROBIC,source_user,tcn,2,,0.9145179473304473,0.9159472253468317,34.042995472009196,1.0,134.88473318650165,1.0,62.87921817127167,1.0,133.86994187393785,1.0,150.92121775804864
tagged_events,ANAEROBIC,source_user,pk_ssm,3,,0.9278809523809525,1.0,41.329217834851484,1.0,100.64812200112857,1.0,67.08155206009843,1.0,97.38822559662248,0.96,89.82533171422088
tagged_events,ANAEROBIC,source_user,tcn,3,,0.9532380952380952,1.0,38.32591059909259,1.0,110.4952115637742,1.0,76.00972277168503,1.0,102.26513421075728,0.9800000000000001,105.26158592768581
