origin_policy,heldout_protocol,boundary,metric,pk_ssm_minus_tcn_bpm,ci_low_bpm,ci_high_bpm,wilcoxon_p,participants,pk_ssm_better_fraction,tcn_better_fraction,ties_fraction
evaluation_stride,AEROBIC,joint_user_activity,mae_120s_bpm,-1.4988113882309297,-2.4388406559707176,-0.6256358695975381,0.009301122277975082,30,0.6666666666666666,0.3333333333333333,0.0
evaluation_stride,AEROBIC,joint_user_activity,mae_30s_bpm,0.5520352037125744,0.1358844594207872,0.9827059814464608,0.019660815596580505,30,0.3333333333333333,0.6666666666666666,0.0
evaluation_stride,AEROBIC,joint_user_activity,mae_60s_bpm,-0.27396143320035665,-0.9594176016989178,0.3457982997750126,0.7456546742469072,30,0.5,0.5,0.0
evaluation_stride,AEROBIC,joint_user_activity,trajectory_mae_bpm,-0.34671919485385494,-0.8798144173517838,0.14463516784560138,0.4771064817905426,30,0.5666666666666667,0.43333333333333335,0.0
evaluation_stride,AEROBIC,seen_user_activity,mae_120s_bpm,-0.5679741709101819,-1.1140328891930178,-0.04340836463478047,0.1104210764169693,29,0.6206896551724138,0.3793103448275862,0.0
evaluation_stride,AEROBIC,seen_user_activity,mae_30s_bpm,0.4931498089555852,0.16928067968681898,0.8282663762737023,0.012943167239427567,29,0.27586206896551724,0.7241379310344828,0.0
evaluation_stride,AEROBIC,seen_user_activity,mae_60s_bpm,-0.053910174789518935,-0.46996335277282064,0.3505684154963607,0.8147765882313251,29,0.5172413793103449,0.4827586206896552,0.0
evaluation_stride,AEROBIC,seen_user_activity,trajectory_mae_bpm,-0.06932060166572754,-0.4080102242763745,0.2610363716076694,0.7332091443240643,29,0.4827586206896552,0.5172413793103449,0.0
evaluation_stride,AEROBIC,source_user,mae_120s_bpm,-0.8248349975222118,-1.691961534469694,-0.004500449716682278,0.09026811271905899,31,0.6774193548387096,0.3225806451612903,0.0
evaluation_stride,AEROBIC,source_user,mae_30s_bpm,0.5211999868258228,0.11301086225333636,0.9328010501425594,0.02600933238863945,31,0.3870967741935484,0.6129032258064516,0.0
evaluation_stride,AEROBIC,source_user,mae_60s_bpm,-0.42227033124238883,-1.18436538610557,0.244577196933065,0.4677626034244895,31,0.5483870967741935,0.45161290322580644,0.0
