policy,endpoint,label,estimate_bpm,ci_low_bpm,ci_high_bpm,participants,wilcoxon_p
tagged_events,trajectory_mae_bpm,Tagged trajectory,-0.09429292385533715,-0.34514270667866254,0.15628183036529228,30,0.7000329215079546
tagged_events,mae_30s_bpm,Tagged 30 s,0.02316017821843448,-0.23004909666997053,0.28011716918396634,30,0.8393927440047264
tagged_events,mae_60s_bpm,Tagged 60 s,-0.15592600036824653,-0.4720115418133581,0.17032578378516808,30,0.40449450351297855
tagged_events,mae_120s_bpm,Tagged 120 s,-0.3687855684357102,-0.982654817525652,0.19572084708946444,30,0.28936620615422726
evaluation_stride,trajectory_mae_bpm,Schedule-wide trajectory,-0.07068864239699642,-0.21718248689338934,0.06612108386350815,30,0.4521643426269293
