origin_policy,heldout_protocol,metric,pk_ssm_minus_tcn_deployment_contrast_bpm,ci_low_bpm,ci_high_bpm,wilcoxon_p,participants
evaluation_stride,AEROBIC,mae_120s_bpm,-0.76685638386043,-2.0003610024953815,0.49647044238496246,0.21293285302817822,30
evaluation_stride,AEROBIC,mae_30s_bpm,-0.010399996839690721,-0.5725313596818781,0.5334193709584596,0.7765688337385654,30
evaluation_stride,AEROBIC,mae_60s_bpm,0.11335526785487522,-0.7593684232112199,1.0750428917670194,0.935398668050766,30
evaluation_stride,AEROBIC,trajectory_mae_bpm,-0.0785116389190566,-0.7558417060072006,0.6390855394737516,0.6408254038542509,30
evaluation_stride,ANAEROBIC,mae_120s_bpm,-1.9062685145294516,-2.9251766399355463,-1.0280805632572017,0.0003449581563472748,30
evaluation_stride,ANAEROBIC,mae_30s_bpm,-0.4534080802918001,-0.849837739550578,-0.0732448864728654,0.047259049490094185,30
evaluation_stride,ANAEROBIC,mae_60s_bpm,-0.8807956074120308,-1.514479577170472,-0.2753553185614645,0.013663241639733315,30
evaluation_stride,ANAEROBIC,trajectory_mae_bpm,-0.9557035249442668,-1.49771207985702,-0.45576955135982195,0.0020201820880174637,30
tagged_events,AEROBIC,mae_120s_bpm,0.1602125342086066,-1.0120750307601467,1.37914222467885,0.9192965272814035,30
tagged_events,AEROBIC,mae_30s_bpm,0.6628995491631522,0.043200705196814446,1.2879596417681436,0.049710121005773544,30
tagged_events,AEROBIC,mae_60s_bpm,0.32748520578381696,-0.7689674540575224,1.4604280390088993,0.6263462882488966,30
tagged_events,AEROBIC,trajectory_mae_bpm,0.3098436833716824,-0.4452801096938661,1.0695989161577932,0.46454504504799843,30
tagged_events,ANAEROBIC,mae_120s_bpm,-1.1482516589079865,-2.60099145696976,0.21415432561690376,0.1459994912147522,30
tagged_events,ANAEROBIC,mae_30s_bpm,-0.39914714178183563,-0.9382133624587866,0.12884082945791037,0.13473508320748806,30
tagged_events,ANAEROBIC,mae_60s_bpm,-0.7577532493294062,-1.6141849998157585,0.049631888859405414,0.07672121562063694,30
tagged_events,ANAEROBIC,trajectory_mae_bpm,-0.7137455395071479,-1.5093708370644947,0.03699453109584754,0.0635564886033535,30
