origin_policy,heldout_protocol,boundary,model,raw_point_coverage,raw_high_hr_coverage,raw_mean_width_bpm,simultaneous_120s_coverage,simultaneous_120s_mean_width_bpm,pointwise_30s_coverage,pointwise_30s_mean_width_bpm,pointwise_60s_coverage,pointwise_60s_mean_width_bpm,pointwise_120s_coverage,pointwise_120s_mean_width_bpm,outer_folds
evaluation_stride,AEROBIC,joint_user_activity,pk_ssm,0.8732419602793884,0.6947765662486616,52.04912016275938,0.984033745076978,137.53599407778412,0.9767843716433943,71.77816618095797,0.9777506265664162,109.19730492706535,0.9819929287504475,163.21758729065976,5
evaluation_stride,AEROBIC,joint_user_activity,tcn,0.9722895593927866,0.8851712555783806,60.28270705111786,0.9867105263157894,125.26039913226175,0.9884616626971156,62.34289346237252,0.9857863408521303,91.30815660067992,0.9923245614035088,142.92838467241685,5
evaluation_stride,AEROBIC,seen_user_activity,pk_ssm,0.896598055003769,0.7135855942469765,54.471207200689335,0.9756704698469777,145.85619590143148,0.9835756437872633,79.06818684356672,0.9665971317970362,116.8993162080424,0.9829989035087718,170.23784082363193,5
evaluation_stride,AEROBIC,seen_user_activity,tcn,0.9661762943141378,0.8779607665442475,58.429584263730476,0.9765962898317222,121.6347835719309,0.9817352309122226,60.23992330857381,0.9793072482139309,89.72146225906737,0.9821843671679197,140.351960701,5
evaluation_stride,AEROBIC,source_user,pk_ssm,0.9070326858813701,0.6409367061428332,58.515311856828774,0.9742063492063492,157.96737658775206,0.9823809523809525,85.32548197406575,0.9620074696545284,126.09507621135734,0.9934126984126983,183.7634859448772,5
evaluation_stride,AEROBIC,source_user,tcn,0.9402792431787532,0.7581506734930856,62.71622458203935,0.984920634920635,131.00793775147665,0.9661821219715957,65.95422727763271,0.9578721313086639,96.14747789943522,0.9984126984126984,156.6325722447893,5
evaluation_stride,ANAEROBIC,joint_user_activity,pk_ssm,0.8654692129288362,0.5418757818724786,49.858422297075975,0.9692522974101923,153.1154547754458,0.991578947368421,101.74575907545895,0.9772932330827068,127.56562667178692,0.9498022015823875,127.89194867052281,5
evaluation_stride,ANAEROBIC,joint_user_activity,tcn,0.7457655331138303,0.5167180753065004,40.78425494203411,0.9318180254557962,119.53443402440473,0.9709440267335004,68.89161334933613,0.9414855766868151,105.49836396103294,0.9393520566121186,125.12383309574984,5
evaluation_stride,ANAEROBIC,seen_user_activity,pk_ssm,0.8532858007676755,0.544683016565566,46.975750591259725,0.9504607808035495,145.31606637484327,0.963700958453557,94.73672483271952,0.9661686472834748,122.21779049021112,0.9395045831197976,123.46637598803838,5
evaluation_stride,ANAEROBIC,seen_user_activity,tcn,0.7411368469512561,0.5076503146528735,39.55694662867164,0.9329031217750258,118.5885837074815,0.9637990977092592,69.27806832595785,0.9516647790695225,105.4263243076244,0.9260632293853213,121.58994460644904,5
evaluation_stride,ANAEROBIC,source_user,pk_ssm,0.9319972852208943,0.9546092152798377,44.93771681529891,0.9776105654452337,141.77942364739096,0.9897800207039337,92.42075920240758,0.9813482269337941,118.90213344967637,0.9721214285242563,120.08203351573468,5
evaluation_stride,ANAEROBIC,source_user,tcn,0.8627889624904617,0.8482110829253522,34.67453664238581,0.9724986137232786,105.31568272831646,0.984908732753208,61.98941411468629,0.9743000682347691,93.59627463527649,0.9658224318088653,109.21272858817296,5
tagged_events,AEROBIC,joint_user_activity,pk_ssm,0.8781143424036282,0.7283011928836836,50.645438942736845,0.9952380952380953,143.00477074871418,0.9880411255411256,70.26530386307931,0.9910714285714285,112.00729840300491,0.9780952380952381,164.03149741555103,5
tagged_events,AEROBIC,joint_user_activity,tcn,0.9690540352504637,0.8586881256128791,60.187025991531925,0.9684616573902287,114.92171782056694,0.9764594928880642,61.09384994508882,0.9910714285714285,97.50389106643964,0.9563528138528138,103.40702467059698,5
tagged_events,AEROBIC,seen_user_activity,pk_ssm,0.9141732678614375,0.7354555017566653,55.849377130519336,0.9914047619047619,161.6788821460544,0.9844047619047618,82.82492431761425,0.992616883116883,124.62693124355421,0.9829632034632034,181.6674486963272,5
tagged_events,AEROBIC,seen_user_activity,tcn,0.9660703865826633,0.8801264757946008,59.274339281429135,0.9617862940630799,110.873554360288,0.9873484848484848,59.24738541449004,0.989469696969697,94.92286719353537,0.955924512987013,102.49837467170855,5
tagged_events,AEROBIC,source_user,pk_ssm,0.8525418527680433,0.6471336974109564,62.09514605169905,0.9831746031746033,180.5331132331725,0.9842857142857143,91.86811429279385,0.973162234590806,139.99960824927257,0.9794708994708994,204.30391557539716,5
tagged_events,AEROBIC,source_user,tcn,0.9211277084908037,0.7484153903187595,64.96029945964388,0.9608369408369409,124.04137401861514,0.9222438672438672,66.42855675472882,0.9715295815295816,106.4999641529586,0.9648893698893699,115.94647105163263,5
tagged_events,ANAEROBIC,joint_user_activity,pk_ssm,0.8105047183856708,0.75105098934551,47.62187007231318,0.9028200371057513,129.9038923972169,0.9343791658077372,74.81227687373026,0.9261317254174397,125.16097859224824,0.9243403421974851,125.69777119528649,5
tagged_events,ANAEROBIC,joint_user_activity,tcn,0.6773391454224788,0.660118814594842,38.507440567441485,0.8301092558235414,110.66150096930649,0.8900687143544286,60.379065824615864,0.8935920428777571,97.62070905785306,0.8585947914519343,113.18789022836054,5
tagged_events,ANAEROBIC,seen_user_activity,pk_ssm,0.7643663472522848,0.664289320788982,44.07945289571434,0.8703498376623375,124.88204296832308,0.9126976010101011,70.68613254558542,0.8897021705146704,120.62048143596799,0.8999160954785955,122.0641895769866,5
tagged_events,ANAEROBIC,seen_user_activity,tcn,0.6588352603415103,0.6348794261094323,37.57152535943569,0.8378870550745552,111.4302228595299,0.8800272967772969,62.56204050444309,0.8685380291005291,99.68671260060863,0.8661365740740742,109.7841206592063,5
tagged_events,ANAEROBIC,source_user,pk_ssm,0.9264123282141139,0.8984651784034581,43.55115478469442,0.9534833024118738,126.28732645313794,0.9837971552257267,71.89922115409144,0.9738404452690167,121.49858243968431,0.9521623376623378,122.67697543510272,5
tagged_events,ANAEROBIC,source_user,tcn,0.8559617510135368,0.8214238938425545,33.47628024241081,0.9464471243042671,101.0036737417233,0.9602009894867038,55.82969342900956,0.960647804576376,89.68886038529119,0.9446239950525666,100.35096982703527,5
