policy,model,sport,seen_in_training,origins,participants,participant_macro_mae_bpm,inferential_status
evaluation_stride,residual_ssm,GC_INFERRED_BIKE_OTHER,True,30,2,4.278156717450892,descriptive_only
evaluation_stride,residual_ssm,GC_INFERRED_BIKE_SWIM,True,6,1,10.356810972425674,descriptive_only
evaluation_stride,residual_ssm,GC_RUN,True,90,7,5.71954238506508,eligible
evaluation_stride,persistence,GC_BIKE,True,413,26,6.660300620076372,eligible
evaluation_stride,persistence,GC_INFERRED_BIKE_OTHER,True,30,2,4.132645988228005,descriptive_only
evaluation_stride,persistence,GC_INFERRED_BIKE_SWIM,True,6,1,10.815277777777778,descriptive_only
evaluation_stride,persistence,GC_RUN,True,90,7,5.816540792161539,eligible
evaluation_stride,damped_trend,GC_BIKE,True,413,26,9.876695291880813,eligible
evaluation_stride,damped_trend,GC_INFERRED_BIKE_OTHER,True,30,2,6.197329158981887,descriptive_only
evaluation_stride,damped_trend,GC_INFERRED_BIKE_SWIM,True,6,1,21.87457594341702,descriptive_only
evaluation_stride,damped_trend,GC_RUN,True,90,7,7.674704009217101,eligible
