policy,model,participants,trajectory_mae_bpm,trajectory_rmse_bpm,signed_error_bpm,total_variation_ratio,parameters,origins_per_second,mae_30s_bpm,mae_60s_bpm,mae_120s_bpm
tagged_events,pk_ssm,30,9.492441545600515,12.643579145766717,-0.7727702554330886,0.10927739182549082,205255,1013.1889197610401,8.294431706897278,10.744094098781973,12.099842101175948
tagged_events,tcn,30,9.586734469455852,12.92599375348059,-0.4139502955044014,1.7497779510236147,119848,1542.3469819386996,8.271271528678842,10.900020099150224,12.468627669611658
tagged_events,gru,30,9.704559396712868,13.111292991077972,0.5945085500596021,1.9981064658917373,68776,1231.6543591810994,8.272992857942956,10.861746860102235,12.576918722823194
tagged_events,lstm,30,9.757451577629675,13.085978545680073,0.7474693077062667,2.1289510783567405,82472,1548.0313099583514,8.429354391834963,10.998276200128856,12.505715603796416
tagged_events,transformer,30,9.7491599112414,13.12343521784528,-0.44346002249142985,1.3283251803727096,152296,468.255979940591,8.45569212440575,11.04311261142619,12.514470843399229
tagged_events,first_order_kinetics,30,10.0064331568697,13.219896895725547,-0.14579372781158012,0.11529677137719681,193805,1521.5118366193162,9.015791199416869,11.305434949601521,12.406823794529686
tagged_events,residual_ssm,30,9.794004586808885,13.183379493510623,-0.20479053785879603,0.08636724273747917,105923,1298.9625138207064,8.526536393878295,11.088246163815116,12.358678331126018
tagged_events,persistence,30,10.469290542253328,14.125827383004157,-1.5263830951250992,0.0,2,2373.526857833383,9.239073715454479,11.724186442818121,13.14518567072083
tagged_events,damped_trend,30,14.29542478263422,20.0524102091566,-3.1268724755901536,0.3041030556678181,2,2342.714425192008,10.695146108801191,15.688458350666206,20.96802473397557
evaluation_stride,pk_ssm,30,6.333629522986544,9.287969699943543,0.6701743575690589,0.09995788211860929,205255,996.9958793616846,4.2846751048933704,7.0627913335829255,9.450141464599078
evaluation_stride,tcn,30,6.4043181653835415,9.589538143731508,0.9890098960670292,1.6008741288297155,119848,1290.0619277316416,4.271693354754147,7.146626486601654,9.723488506408557
evaluation_stride,gru,30,6.605235227138476,9.89668480963851,1.1241522611447068,1.752910983444008,68776,1213.6578160534984,4.478745552761102,7.346805568769866,9.897099019966875
evaluation_stride,lstm,30,6.6148888130348755,9.936183714095439,1.1605533538707062,1.7176949026578603,82472,1289.0900411705022,4.600296669172565,7.375306202591374,9.650125300754388
evaluation_stride,transformer,30,6.396184454128664,9.599910074390658,0.7765448836713605,1.2996476204039231,152296,486.05614047145315,4.221028496237362,7.007791515009595,9.723274837236259
evaluation_stride,first_order_kinetics,30,6.456558326065805,9.391748192050109,0.9277628563923056,0.13033546284885109,193805,1309.585852527056,4.525260445754771,7.097775500843988,9.533747165655
evaluation_stride,residual_ssm,30,6.363936253635552,9.622254781630748,1.265969469377109,0.08561190123587056,105923,1125.7385178462118,4.262522746067421,7.019072434169794,9.564546155410135
evaluation_stride,persistence,30,6.547001065960083,9.892748896939718,-0.15168183656310358,0.0,2,2050.1164077779754,4.48632601320354,7.080168899004235,9.816980019529922
evaluation_stride,damped_trend,30,9.44408718695209,14.297118960021638,-0.2177770440792135,0.2155055358561134,2,1991.3599363299488,5.970174464057475,10.215255067031627,14.595784312395747
