policy,model,interval_type,nominal_coverage,simultaneous_curve_coverage,high_hr_point_coverage,coverage_30s,absolute_calibration_error_30s,mean_width_30s_bpm,coverage_60s,absolute_calibration_error_60s,mean_width_60s_bpm,coverage_120s,absolute_calibration_error_120s,mean_width_120s_bpm
tagged_events,pk_ssm,origin_level,0.95,0.9581544069022846,0.9877455642586352,0.9431946802490097,0.006805319750990302,47.58481388448669,0.9372014351428612,0.012798564857138706,72.913188785954,0.9424231267971904,0.007576873202809531,87.92893999784337
tagged_events,pk_ssm,participant_block,0.95,0.9755315190374613,0.9947794297397045,0.9878392217101895,0.0378392217101895,65.96926545464576,0.9899496725685181,0.03994967256851811,113.5504672212665,0.9809718672197449,0.030971867219744986,115.62545056734776
tagged_events,tcn,origin_level,0.95,0.9440953180279557,0.974829826292437,0.9517428807751389,0.0017428807751389552,44.10185525696475,0.9336172057521803,0.016382794247819632,72.41832297296415,0.925717912174269,0.024282087825730936,88.31487196404238
tagged_events,tcn,participant_block,0.95,0.9583948757335855,0.991077514231052,0.9858230926779314,0.03582309267793149,65.00311563434128,0.98311768876285,0.03311768876285004,119.394459764281,0.9552960348738337,0.005296034873833788,118.48148500945894
evaluation_stride,pk_ssm,origin_level,0.95,0.9377913979023303,0.9200742779646898,0.9545408261929024,0.004540826192902414,42.416786840898155,0.9438105595823184,0.0061894404176815465,63.51757706387513,0.9450771084709284,0.004922891529071549,81.74700292375499
evaluation_stride,pk_ssm,participant_block,0.95,0.9764989194941546,0.976647196129138,0.9830050647962362,0.033005064796236216,64.99878597875731,0.9905965011857996,0.040596501185799605,114.90380509505758,0.984720638666638,0.03472063866663799,133.12011239950118
evaluation_stride,tcn,origin_level,0.95,0.9316930644284562,0.885900933251701,0.9508036265999744,0.0008036265999744607,40.407539770767016,0.9331901465425506,0.016809853457449342,65.15999600638536,0.9410347899625408,0.008965210037459204,80.76355226902959
evaluation_stride,tcn,participant_block,0.95,0.9818026643564732,0.9869767696641014,0.9881347015253581,0.03813470152535814,69.12405960126884,0.9889835979599931,0.03898359795999318,126.4323750606391,0.9842769388390724,0.03427693883907246,150.76554110717768
