policy,model,participants,trajectory_mae_bpm,trajectory_rmse_bpm,signed_error_bpm,total_variation_ratio,rapid_change_amplitude_ratio,high_hr_mae_bpm,fixed_160_high_hr_mae_bpm,mae_30s_bpm,mae_60s_bpm,mae_120s_bpm,parameters_per_member,ensemble_parameters_total,median_member_origins_per_second
tagged_events,pk_ssm,31,9.994184323144907,14.709981660263828,-0.6454280201078194,0.3633788895840702,0.10264571027448707,20.109126554315296,20.125589598341488,5.777936129922502,10.912411730701299,16.46996623705045,205255,1026275,1162.2807018143246
tagged_events,tcn,31,9.949011839798144,14.825483200379459,-0.36418752576059643,3.018091942977095,0.1490001100979217,19.860422487638466,19.175799837412264,5.5533565263392255,10.743378820925155,16.691777373890975,119848,599240,1852.8631605002606
evaluation_stride,pk_ssm,31,8.789110132152873,13.354645564063565,-0.450319584462607,0.45485196197160255,0.09004018661943729,19.03563675041659,20.587762531034777,5.538060091937625,9.562686918094128,13.929386709394807,205255,1026275,1450.7226021093616
evaluation_stride,tcn,31,8.491227048867858,13.159641662025852,-0.11811430983790187,3.6415878002342166,0.1369412492021878,18.198576350489073,18.37117928207878,5.1810257522043415,9.28459174615144,13.57843823656828,119848,599240,1923.9590386089108
