policy,model,seed,participants,trajectory_mae_bpm,trajectory_rmse_bpm,signed_error_bpm,total_variation_ratio,rapid_change_amplitude_ratio,high_hr_mae_bpm,fixed_160_high_hr_mae_bpm,mae_30s_bpm,mae_60s_bpm,mae_120s_bpm,parameters,median_origins_per_second
tagged_events,pk_ssm,20260730,31,10.334727897439572,14.95805600541178,-0.4772092946669265,0.4773337426387488,0.14160284092588937,21.365939977479147,19.734624705718748,5.929230346635929,11.14474849594103,17.35839185605045,205255,1162.2807018143246
tagged_events,tcn,20260730,31,10.157266494182531,15.049525705773517,-0.9200125839089405,6.759285046363306,0.23622200203549928,20.245273597419637,19.683051694884384,5.708617886509372,10.969124673485776,17.085662879748828,119848,1852.8631605002606
tagged_events,gru,20260730,31,10.656456579619611,15.755357558986919,-0.292279815845282,6.605216272498858,0.20203630531439618,19.894153463050234,18.007143294131637,6.045600313952673,11.4355995457623,17.4436471623249,68776,1337.4601124978224
tagged_events,lstm,20260730,31,10.195396339700673,15.035721634674951,-1.124516960802111,6.873738572336788,0.1993900132334302,20.12146130124045,18.068694107669835,5.924418011070157,11.140730911334725,16.795156846220937,82472,1878.732949869191
tagged_events,transformer,20260730,31,10.072292622785923,15.171476144836936,-0.5738050561175423,5.5289448204032405,0.20195606235564817,19.105161387521804,17.16446849945184,5.829269417464304,11.00072477048652,16.580124233878024,152296,565.1453659989131
tagged_events,first_order_kinetics,20260730,31,10.135611482311988,15.139283927060728,-0.2587325439374489,0.35059192534093997,0.0902819565561089,19.382158560939516,19.997073252499597,5.806947166929088,11.002139750486178,16.56987508600846,193805,1764.281027717784
tagged_events,residual_ssm,20260730,31,10.46142971996171,15.722465235826201,0.8301988575663413,0.27484586012399903,0.05497637853305954,16.638121393848262,15.270731928381435,5.88203694079215,11.408467835276426,17.020267799744992,105923,1439.8027945140386
tagged_events,persistence,20260730,31,10.776810537262218,16.26436465220272,-0.503693939914031,0.0,0.0,16.78883142486454,13.27085317409028,6.033443954367217,11.883253149796731,17.401903367164838,2,3198.5490520411636
tagged_events,damped_trend,20260730,31,11.768039928155375,17.84797381697028,0.35132040217441973,0.3242133682698041,0.12064715208130376,18.18835602945263,13.661398377675816,5.48911399111848,12.6126217587557,20.839360079358787,2,2987.044104804956
evaluation_stride,pk_ssm,20260730,31,9.298107970465859,13.855504571867238,-0.13490691042617328,0.556208059670732,0.12710841273298093,19.75286104493265,19.72841200832782,5.748840495964032,10.059981066127941,14.973919290322884,205255,1450.7226021093616
evaluation_stride,tcn,20260730,31,8.782452301562254,13.47544835499665,-0.7223706962975629,8.02708860514022,0.216892493925805,19.173734334238347,19.36376197984631,5.352620040020792,9.568805246221029,14.096127661699361,119848,1923.9590386089108
evaluation_stride,gru,20260730,31,9.301691377507527,14.17683642239366,-0.18922126466250452,7.980077426585445,0.17413430133289953,18.49502582305467,18.958152759565927,5.901364147372584,10.178812433090652,14.641050916535832,68776,1660.7477216034786
evaluation_stride,lstm,20260730,31,9.130335504259662,14.145327715906953,-0.8268228057781483,8.107325921049085,0.18421751292924202,19.278384361004015,20.070946687675278,5.692050570953831,10.04542247755185,14.47775118005453,82472,2301.74726224459
evaluation_stride,transformer,20260730,31,9.18874044558756,14.244978935419526,-0.608625191210757,6.573639016070953,0.18194979773771108,20.42682838489227,18.936916085580325,5.815251138064223,9.95117480183932,14.539095074222763,152296,614.9160260077903
evaluation_stride,first_order_kinetics,20260730,31,9.086149370388892,13.88842372020897,-0.04268783292563823,0.43978701018819955,0.08108713889829183,18.956530639627253,20.993206964317388,5.698819229084161,9.956109553573429,14.358212515544823,193805,1991.3674834405667
evaluation_stride,residual_ssm,20260730,31,9.064101068507977,14.105671362678022,1.0194729772501236,0.33768340267965197,0.0584637137206983,16.95519449841605,18.936998520800227,5.639452785569469,9.925792063272036,14.425367801169985,105923,1670.260257030088
evaluation_stride,persistence,20260730,31,9.082175545149223,14.522633209177194,-0.17641462358401522,0.0,0.0,16.636564727989185,17.9635250783517,5.587342328770129,9.860908756081962,14.672162978857545,2,4214.778547786971
evaluation_stride,damped_trend,20260730,31,10.38080378157865,17.00680973226289,0.18217643931891728,0.4644011876213819,0.15513817651036704,15.175013290359976,10.648160189541057,5.505971342963305,11.310623930383557,17.809730945709806,2,3838.083311846623
