policy,seed,pk_ssm_mae_bpm,tcn_mae_bpm,pk_ssm_minus_tcn_bpm
tagged_events,20260730,10.334727897439572,10.157266494182531,0.17746140325704118
tagged_events,20260731,10.116162739927065,10.190502822364762,-0.07434008243769696
tagged_events,20260732,10.185518916879966,10.358191276210107,-0.17267235933014113
tagged_events,20260733,10.26454436862279,9.985410549807218,0.27913381881557164
tagged_events,20260734,10.640674625333164,9.956448243045562,0.6842263822876014
evaluation_stride,20260730,9.298107970465859,8.782452301562254,0.5156556689036051
evaluation_stride,20260731,8.979025808861003,8.735461759576726,0.24356404928427722
evaluation_stride,20260732,8.880598440281444,8.687864195854374,0.19273424442707032
evaluation_stride,20260733,8.988459549944855,8.660286197326686,0.32817335261816893
evaluation_stride,20260734,9.358632090749122,8.711052837262196,0.647579253486926
