policy,parameter,mean,sd,p05,p50,p95,minimum,maximum,median_within_origin_seed_sd,mean_pairwise_seed_spearman,participants,origins,icc_one_way_random,between_participant_sd_of_means,pooled_within_participant_sd,effective_group_size,near_lower_fraction,near_upper_fraction
tagged_events,feasible_max_hr,169.82494173500163,4.2249693322131305,162.02213134765626,168.4753387451172,174.62775268554688,162.02213134765626,198.0800018310547,15.404075761544005,0.20960154827063865,31.0,466.0,0.2694095998242264,2.4018215443290716,3.6265469654757547,15.016452074391989,0.0,0.0
tagged_events,gain_fast,0.34676724027666406,0.028663464423209262,0.31170726418495176,0.3410966992378235,0.39529848098754883,0.31170726418495176,0.39529848098754883,0.1298696763335949,0.036202525761254004,31.0,466.0,0.9364585916781626,0.02828838252088409,0.007333232038861426,15.016452074391989,0.0,nan
tagged_events,gain_slow,0.26665039215988356,0.03459798639023733,0.2207099750638008,0.2914365351200104,0.3045121967792511,0.2207099750638008,0.3045121967792511,0.09327913109126967,0.08260501321346411,31.0,466.0,0.0300622364884526,0.011787039460885676,0.03408996087781713,15.016452074391989,0.0,nan
tagged_events,hr_reserve,106.90411520372645,9.489522046379333,92.43784942626954,106.64498672485351,123.6085994720459,85.69353942871093,131.14066619873046,16.89287528719506,0.3548641237567951,31.0,466.0,0.21562257590035977,5.027261222710582,8.432813606066944,15.016452074391989,0.0,0.0
tagged_events,initial_fast_fraction,0.4266091671752316,0.04554899612813729,0.3581113457679749,0.4465329051017761,0.48092868328094485,0.3581113457679749,0.48092868328094485,0.11779852134758205,0.0705032730700319,31.0,466.0,0.3125724953815335,0.027414713216514175,0.037950727219139876,15.016452074391989,0.0,0.0
tagged_events,rest_hr,62.92082656401933,8.488419201758525,48.614122772216795,63.098303604125974,74.8336166381836,43.048912048339844,76.3285919189453,5.442844856499155,0.7674153103426762,31.0,466.0,0.19350931779039013,4.323732812784705,7.646124271159428,15.016452074391989,0.0,0.0
tagged_events,tau_fast_recovery,76.71131936920558,2.4922470442597064,73.13434295654297,76.53045043945312,80.37745056152343,73.13434295654297,80.37745056152343,8.450083743290316,-0.013169286487457943,31.0,466.0,0.37380025278502776,1.604246023643674,1.9837851531734423,15.016452074391989,0.0,0.0
tagged_events,tau_fast_rise,69.68231736048097,3.8095233438353255,64.71673049926758,68.4524757385254,77.45631713867188,64.71673049926758,77.45631713867188,18.2399772909726,0.01305362809523337,31.0,466.0,0.3697045739725185,2.42528636566639,3.042017780874677,15.016452074391989,0.0,0.0
tagged_events,tau_slow_recovery,371.4758173995775,27.478211969469584,339.2745361328125,365.05604248046876,412.99345703125,339.2745361328125,412.99345703125,68.48203532598032,-0.022458689708548984,31.0,466.0,0.21035164382131133,14.111113860945578,24.498247108209327,15.016452074391989,nan,0.0
tagged_events,tau_slow_rise,334.52018827512035,19.957202525951793,306.78184814453124,333.7981689453125,369.3335266113281,306.78184814453124,369.3335266113281,73.69582863401119,-0.009660286221251813,31.0,466.0,0.21417299761012448,10.511189839003846,17.75083845632509,15.016452074391989,nan,0.0
evaluation_stride,feasible_max_hr,169.77553577669522,4.652969500993709,162.02213134765626,168.4753387451172,174.62775268554688,162.02213134765626,197.72000122070312,15.404075761544005,0.2161700597787847,31.0,774.0,0.27269543907269717,2.481904806397673,3.986948354574243,24.87786391042205,0.0,0.0
evaluation_stride,gain_fast,0.3455335923155303,0.028302142037340702,0.31170726418495176,0.3410966992378235,0.39529848098754883,0.31170726418495176,0.39529848098754883,0.1298696763335949,0.037073966384081766,31.0,774.0,0.9340092871692388,0.028467230526341026,0.0073904680196704075,24.87786391042205,0.0,nan
evaluation_stride,gain_slow,0.26876300880420734,0.034167106710192255,0.2207099750638008,0.2914365351200104,0.3045121967792511,0.2207099750638008,0.3045121967792511,0.09327913109126967,0.07872376019578498,31.0,774.0,0.0187013040366397,0.00995465164364225,0.033857036304863586,24.87786391042205,0.0,nan
evaluation_stride,hr_reserve,107.31926317239609,9.392171499336937,92.43784942626954,106.94482955932617,123.42827949523925,85.69353942871093,130.6035369873047,16.89287528719506,0.35268783994081543,31.0,774.0,0.18696894197638458,4.614443121317926,8.496197091504174,24.87786391042205,0.0,0.0
evaluation_stride,initial_fast_fraction,0.4247681953956298,0.04573120750417821,0.3581113457679749,0.4465329051017761,0.48092868328094485,0.3581113457679749,0.48092868328094485,0.11779852134758205,0.07881790236907935,31.0,774.0,0.3432729164803463,0.02821028993144717,0.03728135658445969,24.87786391042205,0.0,0.0
evaluation_stride,rest_hr,62.45627260134202,8.42474103149095,49.1646605682373,61.876318740844724,74.8336166381836,42.13583145141602,76.3285919189453,5.622024117103901,0.7850911856900307,31.0,774.0,0.17029667188013062,3.9365101996082186,7.6965716565473565,24.87786391042205,0.0,0.0
evaluation_stride,tau_fast_recovery,76.8363464966609,2.5091061490157673,73.13434295654297,76.53045043945312,80.37745056152343,73.13434295654297,80.37745056152343,8.450083743290316,-0.007728043099219895,31.0,774.0,0.3972970396793816,1.6068102555989527,1.9614044951666778,24.87786391042205,0.0,0.0
evaluation_stride,tau_fast_rise,69.86696964727199,3.8234296562848202,64.71673049926758,68.4524757385254,77.45631713867188,64.71673049926758,77.45631713867188,18.2399772909726,0.006969717186434898,31.0,774.0,0.41412673832308583,2.527886295565041,2.9476727188264142,24.87786391042205,0.0,0.0
